customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
1,Valentina,Fernández,valentina.fernández1@email.com,+1 639-239-2381,1984-08-25,Salta,México,19387,Gold,2020-05-14,2021-01-05,True,False
2,Camila,Ramírez,camila.ramírez2@email.com,+1 582-218-5315,1999-03-17,Rosario,Uruguay,54172,Silver,2023-12-19,2024-08-15,True,False
3,Diego,Sánchez,diego.sánchez3@email.com,+1 443-763-3330,1997-07-31,Rosario,Uruguay,68680,Bronze,2023-02-03,2024-05-24,True,False
4,Lucas,Ramírez,lucas.ramírez4@email.com,+1 678-224-5920,1990-08-19,Santa Fe,Uruguay,58360,Bronze,2024-02-20,2025-09-29,False,False
5,Camila,López,camila.lópez5@email.com,+1 725-662-8264,2001-11-08,Córdoba,Argentina,37810,Bronze,2022-09-16,2025-10-22,True,False
6,Carlos,Martínez,carlos.martínez6@email.com,+1 269-405-2632,1993-02-25,Neuquén,Argentina,74875,Gold,2024-01-08,2025-06-11,False,True
7,Mateo,López,mateo.lópez7@email.com,+1 810-678-2102,1969-09-29,Salta,Perú,19048,Silver,2021-03-16,2024-05-22,True,True
8,Camila,García,camila.garcía8@email.com,+1 229-954-3576,2003-03-08,Córdoba,México,11122,Bronze,2020-02-19,2021-03-18,True,True
9,Diego,Pérez,diego.pérez9@email.com,+1 584-984-5861,1999-11-25,Mendoza,México,77203,Platinum,2023-09-11,2024-08-14,True,True
10,Martín,López,martín.lópez10@email.com,+1 682-901-7628,1980-06-09,Córdoba,Argentina,48922,Bronze,2023-02-05,2025-08-27,True,True
11,Camila,López,camila.lópez11@email.com,+1 891-264-4669,1974-05-31,Neuquén,Argentina,39895,Gold,2020-10-17,2024-11-11,True,True
12,Juan,Pérez,juan.pérez12@email.com,+1 357-477-1191,1980-07-11,La Plata,Colombia,64931,Platinum,2024-05-16,2025-11-22,True,False
13,Mateo,Martínez,mateo.martínez13@email.com,+1 867-452-5606,1980-09-05,Buenos Aires,Argentina,22995,Bronze,2020-07-21,2021-03-20,True,True
14,Lucas,Fernández,lucas.fernández14@email.com,+1 720-200-4748,1979-12-16,Mendoza,Colombia,80756,Bronze,2020-08-10,2023-08-19,False,False
15,Mateo,Ramírez,mateo.ramírez15@email.com,+1 524-136-8196,1993-04-14,Buenos Aires,México,36077,Bronze,2021-12-15,2025-11-15,False,False
16,Pedro,Torres,pedro.torres16@email.com,+1 267-549-3362,2002-10-07,La Plata,Chile,50391,Platinum,2020-01-30,2023-11-02,True,True
17,Laura,Rodríguez,laura.rodríguez17@email.com,+1 485-274-9376,1984-10-09,Salta,Argentina,12012,Bronze,2020-07-09,2024-03-25,True,True
18,Camila,Pérez,camila.pérez18@email.com,+1 436-169-9417,1993-04-07,Mendoza,México,14525,Gold,2024-01-14,2025-12-01,False,True
19,Mateo,Sánchez,mateo.sánchez19@email.com,+1 629-349-2043,1960-05-02,Neuquén,Colombia,96812,Platinum,2023-03-30,2023-05-21,True,False
20,Juan,Torres,juan.torres20@email.com,+1 475-991-4063,1994-02-09,Tucumán,Colombia,80033,Bronze,2021-06-06,2025-07-05,False,False
21,Laura,Pérez,laura.pérez21@email.com,+1 323-158-9183,2002-06-25,Mendoza,Argentina,85957,Gold,2021-11-18,2022-09-27,False,True
22,María,López,maría.lópez22@email.com,+1 418-717-3115,1987-09-09,Neuquén,Uruguay,75542,Bronze,2024-04-22,2024-07-29,True,False
23,Gabriel,González,gabriel.gonzález23@email.com,+1 477-982-3922,1982-08-23,Neuquén,Perú,99412,Bronze,2023-11-16,2024-06-18,True,False
24,María,Sánchez,maría.sánchez24@email.com,+1 960-823-4421,1972-10-24,Mendoza,México,95141,Platinum,2023-12-09,2024-11-02,True,False
